id_velov,latitude,longitude
velov-10056,45.779112,4.871952
velov-9013,45.787384,4.814374
velov-5044,45.759797,4.796627
velov-9014,45.783341,4.811433
velov-10058,45.767126,4.89215
velov-9022,45.778554,4.80704
velov-10060,45.758788,4.878976
velov-2009,45.739608,4.815074
velov-10034,45.761788,4.886157
velov-2036,45.75947,4.830145
velov-6006,45.77332,4.85183
velov-1016,45.765949,4.831107
velov-6001,45.766855,4.858974
velov-9049,45.770134,4.805158
velov-5026,45.763376,4.82904
velov-6008,45.768412,4.859071
velov-9040,45.771006,4.807613
velov-10005,45.779702,4.859991
velov-2038,45.75308,4.829649
velov-1020,45.766806,4.832934
velov-6037,45.782306,4.849344
velov-2007,45.742646,4.820494
velov-10002,45.78219,4.87688
velov-10061,45.770784,4.872959
velov-10059,45.768876,4.884242
velov-10092,45.771558,4.89037
velov-5045,45.750481,4.788774
velov-5029,45.767044,4.826984
velov-6031,45.76375,4.843743
velov-2001,45.757963,4.834636
velov-5016,45.757565,4.800962
velov-2039,45.749253,4.829844
velov-10004,45.776221,4.862648
velov-9041,45.792567,4.820635
velov-2006,45.745582,4.823533
velov-6036,45.783882,4.85214
velov-1021,45.766837,4.834333
velov-10032,45.757156,4.899965
velov-2030,45.764072,4.835525
velov-10035,45.763159,4.90048
velov-2008,45.756766,4.833841
velov-6007,45.76966,4.852373
velov-2037,45.747921,4.824926
velov-7053,45.750264,4.845193
velov-3097,45.7572,4.840499
velov-8024,45.733237,4.878632
velov-3090,45.74192,4.8935
velov-7062,45.747727,4.851598
velov-3099,45.756955,4.865442
velov-8015,45.740302,4.874185
velov-4042,45.7817,4.8206
velov-11003,45.79172,4.82366
velov-7031,45.739813,4.840307
velov-3001,45.760263,4.858464
velov-3039,45.752592,4.85571
velov-10122,45.784051,4.897086
velov-8041,45.724716,4.870832
velov-7009,45.737795,4.837586
velov-4011,45.781492,4.83284
velov-10114,45.757907,4.910807
velov-10113,45.755767,4.891489
velov-7038,45.749555,4.852944
velov-3008,45.74581,4.870688
velov-7007,45.735674,4.827719
velov-3037,45.757123,4.853472
velov-7064,45.745399,4.847859
velov-3053,45.751132,4.855583
velov-3091,45.748183,4.896957
velov-7055,45.746759,4.842013
velov-7052,45.745962,4.85119
velov-8025,45.744461,4.860994
velov-3009,45.750253,4.857925
velov-10112,45.754536,4.885139
velov-7039,45.751037,4.848041
velov-3036,45.753799,4.859863
velov-4021,45.774046,4.825193
velov-7006,45.727179,4.831044
velov-10115,45.754098,4.905664
velov-7001,45.754867,4.843739
velov-4026,45.774633,4.813314
velov-3031,45.759931,4.844516
velov-7008,45.752573,4.846363
velov-8040,45.73624,4.883737
velov-3038,45.757331,4.858935
velov-3007,45.743442,4.878903
velov-11002,45.78573,4.848304
velov-4017,45.776093,4.829475
velov-7030,45.743222,4.834251
velov-7012,45.729501,4.82969
velov-10101,45.779474,4.874331
velov-7023,45.742654,4.850537
velov-3013,45.753645,4.889269
velov-4004,45.779686,4.82763
velov-8054,45.740847,4.868207
velov-4003,45.779713,4.834787
velov-7024,45.748519,4.840523
velov-8053,45.743572,4.870106
velov-8007,45.745017,4.866452
velov-8038,45.74677,4.867283
velov-3085,45.75783,4.868395
velov-8009,45.736575,4.869916
velov-7041,45.746686,4.844482
velov-3071,45.740483,4.888086
velov-7046,45.73008,4.827793
velov-3082,45.757623,4.845109
velov-3015,45.760777,4.852511
velov-4002,45.7742,4.827765
velov-8052,45.747097,4.860144
velov-4005,45.777615,4.834451
velov-3012,45.749517,4.887286
velov-7022,45.743926,4.841522
velov-3024,45.741423,4.885377
velov-7014,45.75301,4.841378
velov-12001,45.760813,4.920604
velov-7013,45.73125,4.823932
velov-8030,45.741374,4.879737
velov-3083,45.761519,4.850486
velov-8037,45.734032,4.862904
velov-3084,45.757261,4.855201
velov-8008,45.727889,4.863518
velov-3079,45.751205,4.88482
velov-7049,45.72796,4.823559
velov-8001,45.74854,4.861542
velov-8006,45.729746,4.868284
velov-8039,45.738741,4.852286
velov-1032,45.7672,4.836392
velov-10028,45.767534,4.873966
velov-5002,45.756527,4.796612
velov-2015,45.760912,4.836173
velov-9052,45.789315,4.79916
velov-2012,45.753455,4.833354
velov-5005,45.766257,4.827363
velov-1035,45.772201,4.837912
velov-6022,45.769382,4.842417
velov-2024,45.758739,4.834077
velov-3102,45.752543,4.894259
velov-1003,45.769266,4.83008
velov-2023,45.754676,4.829892
velov-10021,45.759712,4.889864
velov-10075,45.7723,4.865699
velov-10072,45.774226,4.864286
velov-10086,45.769836,4.889526
velov-6040,45.764058,4.849931
velov-9008,45.797391,4.829084
velov-9006,45.777207,4.803348
velov-10043,45.783011,4.890586
velov-10088,45.766243,4.897872
velov-2041,45.754473,4.833011
velov-2022,45.75123,4.826891
velov-1005,45.766089,4.83289
velov-6012,45.771757,4.844604
velov-3103,45.754834,4.857546
velov-1002,45.767507,4.836282
velov-10018,45.761716,4.880738
velov-2025,45.762055,4.833206
velov-10027,45.766831,4.879894
velov-6023,45.76683,4.841139
velov-1034,45.770002,4.82927
velov-5004,45.760484,4.826565
velov-2013,45.75994,4.832072
velov-10011,45.769212,4.880585
velov-2014,45.760746,4.834288
velov-6024,45.770733,4.85678
velov-10016,45.7521,4.914643
velov-5050,45.758362,4.821087
velov-10087,45.760604,4.900697
velov-10073,45.761535,4.872462
velov-6041,45.784611,4.859639
velov-10074,45.770048,4.876948
velov-10080,45.775426,4.88029
velov-10030,45.773844,4.893848
velov-6002,45.777379,4.844881
velov-2035,45.759879,4.835757
velov-10008,45.778358,4.879609
velov-1012,45.765811,4.836896
velov-6005,45.765766,4.844732
velov-10001,45.785632,4.88241
velov-9044,45.770477,4.8009
velov-2003,45.753044,4.828267
velov-1024,45.769663,4.824635
velov-9043,45.776092,4.799715
velov-10006,45.770227,4.863133
velov-1023,45.772285,4.819489
velov-10039,45.77945,4.891501
velov-2004,45.7501,4.828052
velov-5047,45.753442,4.804459
velov-5040,45.757875,4.826223
velov-10055,45.776454,4.867115
velov-9010,45.770941,4.79654
velov-10063,45.758389,4.885613
velov-10064,45.764822,4.884319
velov-10007,45.774215,4.867504
velov-9042,45.786508,4.811441
velov-2005,45.740538,4.81918
velov-10038,45.779046,4.866778
velov-1022,45.769604,4.837658
velov-6035,45.785421,4.854124
velov-6032,45.764858,4.841565
velov-5015,45.752001,4.821662
velov-2002,45.758262,4.830439
velov-10036,45.774357,4.859155
velov-6004,45.768851,4.844765
velov-1013,45.768218,4.827622
velov-10031,45.78072,4.8835
velov-6003,45.772911,4.856327
velov-9020,45.773458,4.800352
velov-10091,45.774751,4.888039
velov-5041,45.766553,4.82001
velov-9011,45.769782,4.812676
velov-10054,45.776706,4.859523
velov-9029,45.7731,4.807814
velov-10053,45.779408,4.862902
velov-10121,45.771925,4.87906
velov-8042,45.731469,4.860266
velov-4012,45.779199,4.840972
velov-3005,45.753786,4.848042
velov-7035,45.750933,4.839365
velov-10119,45.780446,4.904489
velov-3002,45.760119,4.858732
velov-10110,45.759577,4.882758
velov-7004,45.746206,4.841976
velov-4023,45.778195,4.810689
velov-10117,45.764564,4.892334
velov-4024,45.78817,4.81856
velov-7003,45.751802,4.852535
velov-3067,45.752892,4.863961
velov-7057,45.734682,4.835457
velov-3058,45.758815,4.853881
velov-8020,45.729727,4.853964
velov-3094,45.757765,4.861497
velov-4041,45.775502,4.835063
velov-8011,45.735614,4.852997
velov-3051,45.748166,4.880563
velov-7061,45.748543,4.843238
velov-8029,45.732218,4.865142
velov-10116,45.760611,4.90621
velov-7002,45.751332,4.836354
velov-3032,45.763405,4.847137
velov-4025,45.77544,4.817874
velov-10111,45.770333,4.862258
velov-4022,45.776063,4.832501
velov-7005,45.731678,4.833916
velov-11001,45.785776,4.833713
velov-4014,45.77741,4.820492
velov-3003,45.762979,4.855007
velov-10118,45.767153,4.900599
velov-7033,45.749418,4.834752
velov-10120,45.776252,4.871629
velov-7034,45.753709,4.838321
velov-3004,45.759654,4.848066
velov-8010,45.739927,4.859521
velov-7056,45.755757,4.840695
velov-3066,45.754263,4.863466
velov-8021,45.728281,4.877621
velov-8003,45.73814,4.88688
velov-3044,45.761965,4.841053
velov-8004,45.735206,4.872697
velov-3088,45.758825,4.846539
velov-3043,45.754009,4.86723
velov-7045,45.737752,4.824488
velov-8035,45.747249,4.865286
velov-3086,45.749547,4.876022
velov-7016,45.748999,4.847645
velov-8061,45.725334,4.881419
velov-10102,45.780944,4.871327
velov-3021,45.759646,4.86976
velov-7011,45.74372,4.847275
velov-8059,45.735346,4.889584
velov-4009,45.775923,4.825422
velov-7018,45.740259,4.832109
velov-7020,45.724093,4.827131
velov-4007,45.77929,4.820245
velov-3010,45.759374,4.855961
velov-8057,45.73236,4.85342
velov-8034,45.738273,4.862699
velov-3087,45.762741,4.85231
velov-3080,45.760055,4.861674
velov-3089,45.745315,4.888965
velov-8002,45.745334,4.87159
velov-4006,45.773311,4.821279
velov-7021,45.729806,4.838138
velov-8056,45.735795,4.856813
velov-4001,45.770428,4.814276
velov-3016,45.759342,4.842228
velov-8051,45.724271,4.854152
velov-3029,45.753004,4.850247
velov-8058,45.738668,4.878131
velov-7010,45.747358,4.836049
velov-3018,45.756699,4.848405
velov-8060,45.731756,4.874245
velov-12002,45.7644,4.919276
velov-10103,45.784485,4.877404
velov-10071,45.76156,4.896454
velov-6043,45.784736,4.852215
velov-9033,45.767356,4.80564
velov-6044,45.76637,4.865084
velov-10049,45.76918,4.896724
velov-5055,45.761799,4.803061
velov-2042,45.751848,4.824734
velov-10047,45.771172,4.884998
velov-9002,45.774241,4.805666
velov-5006,45.762037,4.82889
velov-2011,45.756808,4.828374
velov-6021,45.770856,4.849971
velov-1036,45.774372,4.832815
velov-10013,45.765042,4.901133
velov-1031,45.768024,4.831741
velov-2016,45.763077,4.834287
velov-5001,45.757196,4.815305
velov-9051,45.786525,4.797071
velov-10014,45.765124,4.909818
velov-2020,45.73339,4.818946
velov-5008,45.755437,4.812727
velov-5030,45.754798,4.807373
velov-3101,45.762512,4.868599
velov-10025,45.763641,4.873141
velov-6028,45.764334,4.853492
velov-9003,45.775642,4.805318
velov-10046,45.770747,4.867153
velov-5053,45.756083,4.819314
velov-10079,45.76813,4.879161
velov-10041,45.752972,4.898866
velov-9004,45.779744,4.804567
velov-5054,45.763898,4.792714
velov-10083,45.777798,4.883983
velov-9032,45.773834,4.809504
velov-10048,45.759244,4.875888
velov-6045,45.766296,4.856833
velov-10084,45.783514,4.871273
velov-6042,45.784856,4.855615
velov-3100,45.752817,4.8688
velov-1001,45.767735,4.832135
velov-6016,45.765988,4.862092
velov-2026,45.759381,4.835399
velov-5031,45.754647,4.788201
velov-10024,45.755951,4.877346
velov-5036,45.749687,4.795611
velov-6011,45.768399,4.849499
velov-1006,45.767896,4.819817
velov-5009,45.764686,4.828945
velov-2017,45.76219,4.83596
velov-2028,45.744422,4.822143
velov-9050,45.783637,4.794525
velov-6020,45.774527,4.848382
velov-2010,45.743392,4.815816
velov-5007,45.757906,4.813135
velov-10012,45.767981,4.887219
